,Season,Episode,EpisodeTitle,IMDBRating,TotalVotes,AirDate,Description,Viewership,GuestStars,Director,Writers,Number of Guest Stars
47,3,20,Product Recall,8.7,4519,26 Apr 2007,"Michael tries to be proactive during a watermark crisis, but only makes the situation worse. Meanwhile, Angela has trouble being apologetic with customers, and Andy discovers a secret about his new girlfriend.",7.56,,Randall Einhorn,Justin Spitzer | Brent Forrester,1
48,3,21,Women's Appreciation,8.8,4586,3 May 2007,"Phyllis gets flashed in the parking lot, and Dwight goes all out to secure the premises. Michael ostensibly takes the women in the office to the mall to comfort them, but he's really doing it to get advice about breaking up with Jan.",7.0,,Tucker Gates,Gene Stupnitsky | Lee Eisenberg,1
49,3,22,Beach Games,9.2,5289,10 May 2007,"Michael uses ""beach day"" at Dunder-Mifflin to find out which employee would be his most capable replacement, just in case he receives the promotion to the New York office that he's applied for.",7.2,,Harold Ramis,Jennifer Celotta | Greg Daniels,1
50,3,23,The Job,9.3,5575,17 May 2007,"Michael appoints Dwight as regional manager, anticipating that he will receive the job at corporate. Jim and Karen also interview for the same position. And Michael gets back together with Jan after she gets a boob job.",7.88,,Ken Kwapis,Paul Lieberstein | Michael Schur,1
51,4,1,Fun Run,8.8,5140,27 Sep 2007,"Michael accidentally runs over Meridith in the parking lot, and his guilt causes him to organize a 5-K run for her. Dwight and Angela have a falling-out after he kills her cat, and Jim and Pam's relationship is discovered.",9.7,,Greg Daniels,Greg Daniels,1
52,4,2,Dunder Mifflin Infinity,8.3,4231,4 Oct 2007,"Michael feels threatened when Ryan returns to the Scranton office to share his ideas about the future of Dunder Mifflin. Jim and Pam's relationship is shared with the entire office, while Angela and Dwight's relationship is on the rocks.",8.49,,Craig Zisk,Michael Schur,1
53,4,3,Launch Party,8.4,4120,11 Oct 2007,"The Dunder Mifflin Infinity website is launching and Michael is excited about going to the big launch party in New York while Angela plans a satellite party for the Scranton branch. Meanwhile, Dwight competes against the website to see who can sell the most paper in one day.",8.91,Kevin McHale,See full summary,Jennifer Celotta,1
54,4,4,Money,8.7,4444,18 Oct 2007,"As Jan renovates the condo, Michael confronts his growing debt every way he can, which includes pressuring his employees for a loan. Pam and Jim spend a night out on Dwight's family beet farm, now a bed and breakfast.",8.5,,Paul Lieberstein,Paul Lieberstein,1
55,4,5,Local Ad,8.8,4556,25 Oct 2007,"Michael tries to make a local Dunder Mifflin commercial that is better than the one the professional ad agency made for them. Meanwhile, Andy tries to confide in Dwight about his new relationship with Angela.",8.98,,Jason Reitman,B. J. Novak,1
56,4,6,Branch Wars,8.5,4211,1 Nov 2007,"Michael and Dwight try to play a prank on Karen, who is now manager of the Utica branch, after she tries to steal Stanley from the Scranton office. Meanwhile, Pam, Toby, and Oscar start their own exclusive office book club.",8.39,,Joss Whedon,Mindy Kaling,1
